function,module,line,snippet
ca_default_distributor_itr,Masters / Common,5987,function ca_default_distributor_itr(
ca_distributor_export_enabled,Masters / Common,5991,function ca_distributor_export_enabled(
ca_export_period_type_code,Masters / Common,5995,function ca_export_period_type_code(
ca_stock_valuation_method_code,Inventory,6004,function ca_stock_valuation_method_code(
ca_stock_valuation_method_label,Inventory,6008,function ca_stock_valuation_method_label(
ca_inventory_valuation_index,Masters / Common,6012,function ca_inventory_valuation_index(
ca_distributor_item_rows,Inventory,6020,function ca_distributor_item_rows(
ca_distributor_expense_buckets,Accounts,6079,function ca_distributor_expense_buckets(
ca_distributor_bank_summary,Accounts,6098,function ca_distributor_bank_summary(
ca_document_flags_for_export,Print / Documents,6109,function ca_document_flags_for_export(
ca_distributor_itr_payload,Masters / Common,6123,function ca_distributor_itr_payload(
ca_export_payload,Masters / Common,6196,function ca_export_payload(
ca_json_source_catalog,Masters / Common,6250,function ca_json_source_catalog(
ca_json_value_at_path,Masters / Common,6292,function ca_json_value_at_path(
ca_json_source_values,Masters / Common,6301,function ca_json_source_values(
ca_json_template_paths,Masters / Common,6307,function ca_json_template_paths(
ca_json_path_segments,Masters / Common,6319,function ca_json_path_segments(
ca_json_set_path,Masters / Common,6326,function ca_json_set_path(
ca_json_required_sources,Masters / Common,6340,function ca_json_required_sources(
ca_json_mapping_status_payload,Masters / Common,6352,function ca_json_mapping_status_payload(
ca_json_validate_standard_payload,Masters / Common,6392,function ca_json_validate_standard_payload(
ca_json_upload_template,Masters / Common,6405,function ca_json_upload_template(
ca_json_save_mapping,Masters / Common,6432,function ca_json_save_mapping(
ca_json_custom_payload,Masters / Common,6456,function ca_json_custom_payload(
ca_json_export_download,Masters / Common,6470,function ca_json_export_download(
ca_excel_export_download,Masters / Common,6521,function ca_excel_export_download(
unique_file_path,Masters / Common,6561,function unique_file_path(
ca_send_email_attachment,Masters / Common,6572,function ca_send_email_attachment(
create_ca_export_file,Masters / Common,6594,function create_ca_export_file(
closing_copy_dir,Masters / Common,6640,function closing_copy_dir(
create_closing_backup,Administration,6656,function create_closing_backup(
closing_validation_issues,Masters / Common,6689,function closing_validation_issues(
closing_mark_period_closed,Masters / Common,6710,function closing_mark_period_closed(
closing_unlock_period,Masters / Common,6722,function closing_unlock_period(
perform_closing_workflow,Masters / Common,6732,function perform_closing_workflow(
reopen_closing_period,Masters / Common,6765,function reopen_closing_period(
gst_return_types,GST / Compliance,6779,function gst_return_types(
normalize_gst_return_type,GST / Compliance,6785,function normalize_gst_return_type(
gst_return_type_options,GST / Compliance,6789,function gst_return_type_options(
gst_return_filing_status_label,GST / Compliance,6797,function gst_return_filing_status_label(
gst_return_filing_for_period,GST / Compliance,6802,function gst_return_filing_for_period(
gst_locked_period_for_date,GST / Compliance,6808,function gst_locked_period_for_date(
require_unlocked_gst_date,GST / Compliance,6815,function require_unlocked_gst_date(
